A&E,A&E,265
ABC Family,ABC Family,311
AMERICAN HEROES CHANNEL,AMERICAN HEROES CHANNEL,287
AUDIENCE,AUDIENCE,239
AXSTV HD,AXSTV HD,340
Adult PPV - Ch. 195,Adult PPV - Ch. 195,195
Al Jazeera America,Al Jazeera America,347
American Movie Classics (AMC),American Movie Classics (AMC),254
Animal Planet,Animal Planet,282
BBC America,BBC America,264
Big Ten Network,Big Ten Network,610
BYU TV,BYU TV,374
BabyFirstTV*,BabyFirstTV*,293
Biography Channel,Biography Channel,266
Black Entertainment Television (BET),Black Entertainment Television (BET),329
Bloomberg Television,Bloomberg Television,353
Boomerang,Boomerang,298
Bravo,Bravo,237
CBS Sports Network,CBS Sports Network,221
CMT,CMT,327
CNBC,CNBC,355
CNBC World,CNBC World,357
CNN,CNN,202
CSPAN 1,CSPAN 1,350
CSPAN 2,CSPAN 2,351
Cartoon Network (East),Cartoon Network (East),296
Cartoon Network (West),Cartoon Network (West),297
Celebrity Shopping TV,Celebrity Shopping TV,223
Centric,Centric,330
Chiller,Chiller,257
Christian Television Network (CTN),Christian Television Network (CTN),376
Church Channel,Church Channel,371
Cloo,Cloo,308
Comedy Central,Comedy Central,249
Cooking Channel,Cooking Channel,232
DIY Network,DIY Network,230
DTV SportsMix,DTV SportsMix,205/600
DTV Cinema 160 HD,DTV Cinema 160 HD,160
DTV Cinema 169,DTV Cinema 169,169
Daystar,Daystar,369
Destination America,Destination America,286
Discovery Channel,Discovery Channel,278
Discovery Fit & Health,Discovery Fit & Health,261
Disney Channel (East),Disney Channel (East),290
Disney Channel (West),Disney Channel (West),291
Disney Junior Channel,Disney Junior Channel,289
Disney XD,Disney XD,292
E! Entertainment,E! Entertainment,236
ESPN,ESPN,206
ESPN2,ESPN2,209
ESPNEWS,ESPNEWS,207
ESPNU,ESPNU,208
EWTN,EWTN,370
El Rey,El Rey,341
Esquire,Esquire,235
Encore East/West,Encore East/West,535/536
Encore Action,Encore Action,541
Encore Black,Encore Black,540
Encore Classic,Encore Classic,537
Encore Family,Encore Family,542
Encore Suspense,Encore Suspense,539
Encore Westerns,Encore Westerns,538
FX,FX,248
FX Movie Channel,FX Movie Channel,258
FXX,FXX,259
FLIX,FLIX,556
Food Network,Food Network,231
Fox Business Network,Fox Business Network,359
Fox News Channel,Fox News Channel,360
Fox Sports 1,Fox Sports 1,219
Fox Sports 2,Fox Sports 2,618
Free Speech TV*,Free Speech TV*,348
Fuse,Fuse,339
GEM NET (Global Expansion Media Network)*,GEM NET (Global Expansion Media Network)*,2068
GOD TV,GOD TV,365
GSN,GSN,233
Golden Eagle Broadcasting*,Golden Eagle Broadcasting*,363
Golf Channel,Golf Channel,218
Great American Country,Great American Country,326
H2,H2,271
HBO Channels,HBO Channels,501-511
HITN*,HITN*,438
Hallmark Channel,Hallmark Channel,312
Hallmark Movie Channel HD,Hallmark Movie Channel HD,565
Headline News,Headline News,204
History Channel,History Channel,269
Home & Garden Television (HGTV),Home & Garden Television (HGTV),229
Home Shopping Network,Home Shopping Network,240
Hope*,Hope*,368
Hub,Hub,294
INSP,INSP,364
ION Television,ION Television,305
ION Television West,ION Television West,306
Independent Film Channel (IFC),Independent Film Channel (IFC),564
Investigation Discovery (ID),Investigation Discovery (ID),285
Jewelry Television,Jewelry Television,313
Jewish Life Television*,Jewish Life Television*,366
Learning Channel,Learning Channel,280
Lifetime,Lifetime,252
Lifetime Movie Network,Lifetime Movie Network,253
LinkTV,LinkTV,375
Logo,Logo,272
Military Channel,Military Channel,287
Movie Channel,Movie Channel,553-555
MLB Network,MLB Network,213
MSNBC,MSNBC,356
MTV,MTV,331
MTV2,MTV2,333
NASA TV,NASA TV,346
NBA TV,NBA TV,216
NBC Sports Network,NBC Sports Network,220
NFL Network,NFL Network,212
NHL Network,NHL Network,215
NRB,NRB,378
Nat Geo WILD,Nat Geo WILD,283
National Geographic Channel,National Geographic Channel,276
Nick Jr.,Nick Jr.,301
Nickelodeon (East),Nickelodeon (East),299
Nickelodeon (West),Nickelodeon (West),300
Nicktoons Network,Nicktoons Network,302
OWN,OWN,279
Ovation,Ovation,274
Oxygen,Oxygen,251
Outdoor ,Outdoor,606
pivot,pivot,267
Prime Ticket,Prime Ticket,693
Pursuit Channel,Pursuit Channel,604
QVC,QVC,275
QVC Plus,QVC Plus,315
RFD TV,RFD TV,345
ReelzChannel,ReelzChannel,238
Root Sports,Root Sports,687
Science Channel,Science Channel,284
ShopHQ,ShopHQ,316
Spike,Spike,241
Sprout,Sprout,295
Starz East,Starz East,527
Syfy Channel,Syfy Channel,244
Showtime,Showtime,550-552
TBS,TBS,247
TCT Network,TCT Network,377
TNT,TNT,245
TV Guide Network,TV Guide Network,273
TV Land,TV Land,304
TV One,TV One,328
TeenNick,TeenNick,303
Tennis Channel,Tennis Channel,217
The Sportsman Channel - ELNUS,The Sportsman Channel - ELNUS,605
The Word Network,The Word Network,373
Travel Channel,Travel Channel,277
Trinity Broadcasting Network (TBN),Trinity Broadcasting Network (TBN),372
TruTV,TruTV,246
Turner Classic Movies (TCM),Turner Classic Movies (TCM),256
UP,UP,338
USA Network,USA Network,242
Universal Sports,Universal Sports,625
VH1,VH1,335
VH1 Classic,VH1 Classic,337
Velocity,Velocity,281
WE: Women's Entertainment,WE: Women's Entertainment,260
WGN America,WGN America,307
Weather Channel,Weather Channel,362
World Harvest Television,World Harvest Television,367
YES Network,YES Network,631
beIN SPORT,beIN SPORT,620
Canal Once*,Canal Once*,447
Cartoon Network (Este) HD,Cartoon Network (Este) HD,296
Disney XD,Disney XD,292
Enlace Christian Television*,Enlace Christian Television*,448
Galavision,Galavision,404
Univision (Este),Univision (Este),402
Univision Deportes,Univision Deportes,455
V-me*,V-me*,440
mun2,mun2,410
