3net HD,3net HD,107
A&E HD,A&E HD,265
ABC Family HD,ABC Family HD,311
American Movie Classics (AMC) HD,American Movie Classics (AMC) HD,254
Animal Planet HD,Animal Planet HD,282
Audience Network HD,Audience Network HD,239
AXSTV HD,AXSTV HD,340
Azteca America,Azteca America,441
Azteca Mexico,Azteca Mexico,442
BabyFirstTV*,BabyFirstTV*,293
beIN SPORT en Español HD,beIN SPORT en Español HD,426
beIN SPORT HD,beIN SPORT HD,620
Biography Channel HD,Biography Channel HD,266
Bloomberg Television HD,Bloomberg Television HD,353
Boomerang,Boomerang,298
Bravo HD,Bravo HD,237
BYU TV,BYU TV,374
Caracol TV,Caracol TV,417
Cartoon Network (Este) HD,Cartoon Network (Este) HD,296
Cartoon Network (Oeste),Cartoon Network (Oeste),297
CBS Sports Network HD,CBS Sports Network HD,221
Centroamérica,Centroamérica,428
Christian Television Network (CTN),Christian Television Network (CTN),376
Church Channel,Church Channel,371
Cine Estelar,Cine Estelar,422
Cine Latino,Cine Latino,423
Cine Nostalgia,Cine Nostalgia,424
CNBC World,CNBC World,357
CNN en Español,CNN en Español,419
CNN HD,CNN HD,202
Comedy Central HD,Comedy Central HD,249
CSPAN 1,CSPAN 1,350
CSPAN 2,CSPAN 2,351
Daystar,Daystar,369
Destination America HD,Destination America HD,286
Discovery Channel HD,Discovery Channel HD,278
Discovery en Español,Discovery en Español,413
Discovery Familia,Discovery Familia,436
Discovery Fit & Health,Discovery Fit & Health,261
Disney Channel (East) HD,Disney Channel (East) HD,290
Disney Channel (West),Disney Channel (West),291
Disney XD HD,Disney XD HD,292
Disney XD HD,Disney XD HD,292
DIY Network HD,DIY Network HD,230
E! Entertainment HD,E! Entertainment HD,236
Ecuador TV,Ecuador TV,457
Ecuavisa Internacional,Ecuavisa Internacional,438
Enlace Christian Television*,Enlace Christian Television*,448
ESPN Deportes HD,ESPN Deportes HD,432
ESPN HD,ESPN HD,206
ESPN2 HD,ESPN2 HD,209
ESPNEWS HD,ESPNEWS HD,207
ESPNU HD,ESPNU HD,208
EWTN,EWTN,370
Food Network HD,Food Network HD,231
ForoTV,ForoTV,453
FOX Deportes,FOX Deportes,425
Fox News Channel HD,Fox News Channel HD,360
Fox Sports 1 HD,Fox Sports 1 HD,219
Fox Sports 2 HD,Fox Sports 2 HD,618
Free Speech TV*,Free Speech TV*,348
FX HD,FX HD,248
FX Movie Channel,FX Movie Channel,258
FXX HD,FXX HD,619
Galavision HD,Galavision HD,404
GEM NET (Global Expansion Media Network)*,GEM NET (Global Expansion Media Network)*,2068
GOD TV,GOD TV,365
Golden Eagle Broadcasting*,Golden Eagle Broadcasting*,363
Golf Channel HD,Golf Channel HD,218
GolTV,GolTV,456
Great American Country,Great American Country,326
H2 HD,H2 HD,271
Hallmark Channel HD,Hallmark Channel HD,312
Headline News HD,Headline News HD,204
History Channel HD,History Channel HD,269
History en espanol -Elnus,History en espanol -Elnus,443
HITN-TV*,HITN-TV*,449
Home & Garden Television (HGTV) HD,Home & Garden Television (HGTV) HD,229
Home Shopping Network,Home Shopping Network,240
Hope*,Hope*,368
Hub,Hub,294
Independent Film Channel (IFC) HD,Independent Film Channel (IFC) HD,564
INSP,INSP,364
Investigation Discovery (ID) HD,Investigation Discovery (ID) HD,285
Jewelry Television HD,Jewelry Television HD,313
Jewish Life Television*,Jewish Life Television*,366
Latinoamerica TV,Latinoamerica TV,430
Lifetime HD,Lifetime HD,252
LinkTV,LinkTV,375
MEGA TV HD,MEGA TV HD,405
MEXICANAL,MEXICANAL,412
Mexico 22,Mexico 22,446
Mexico TV,Mexico TV,420
MHz WORLDVIEW*,MHz WORLDVIEW*,2183
Military Channel,Military Channel,287
MLB Network HD,MLB Network HD,213
MSNBC HD,MSNBC HD,356
MTV HD,MTV HD,331
MTV2,MTV2,333
mun2,mun2,
n3D HD,n3D HD,103
NASA TV,NASA TV,346
Nat Geo Mundo,Nat Geo Mundo,435
Nat Geo WILD HD,Nat Geo WILD HD,283
National Geographic Channel HD,National Geographic Channel HD,276
NBA TV HD,NBA TV HD,216
NBCS HD,NBCS HD,220
NFL Network HD,NFL Network HD,212
Nick Jr.,Nick Jr.,301
Nickelodeon (East) HD,Nickelodeon (East) HD,299
Nickelodeon (West),Nickelodeon (West),300
Nicktoons Network,Nicktoons Network,302
NRB,NRB,378
NTN24,NTN24,418
ONCE México*,ONCE México*,447
Oxygen,Oxygen,251
Pasiones,Pasiones,444
PBS,PBS,0
PBS Kids Sprout,PBS Kids Sprout,295
Perú Mágico,Perú Mágico,431
Pursuit Channel,Pursuit Channel,604
QVC HD,QVC HD,275
Regional Music TV,Regional Music TV,415
Science Channel HD,Science Channel HD,284
ShopNBC,ShopNBC,316
Spike HD,Spike HD,241
Sur Peru,Sur Peru,439
Syfy Channel HD,Syfy Channel HD,244
TBS HD,TBS HD,247
TCT Network,TCT Network,377
TeenNick,TeenNick,303
Telecentro,Telecentro,429
Teléfe Internacional,Teléfe Internacional,411
TeleFutura (Oeste) HD,TeleFutura (Oeste) HD,408
Telemundo (Este),Telemundo (Este),406
Telemundo (Oeste),Telemundo (Oeste),407
Television Dominicana,Television Dominicana,434
Television Española (TVE) Internacional,Television Española (TVE) Internacional,460
The Word Network,The Word Network,373
TLC HD,TLC HD,280
TNT HD,TNT HD,245
TR3S,TR3S,445
Travel Channel HD,Travel Channel HD,277
Trinity Broadcasting Network (TBN),Trinity Broadcasting Network (TBN),372
TruTV HD,TruTV HD,246
Turner Classic Movies (TCM) HD,Turner Classic Movies (TCM) HD,256
TV Chile,TV Chile,437
TV Colombia,TV Colombia,416
TV Guide Network,TV Guide Network,273
TV Land HD,TV Land HD,304
TV Venezuela,TV Venezuela,409
TyC Sports,TyC Sports,427
Universal Sports,Universal Sports,625
Univision (Este) HD,Univision (Este) HD,402
Univision (Oeste),Univision (Oeste),403
Univision Deportes HD,Univision Deportes HD,455
Univision tlnovelas,Univision tlnovelas,454
UP,UP,338
USA Network HD,USA Network HD,242
Utilisima,Utilisima,421
V-me*,V-me*,440
Velocity HD,Velocity HD,281
VH1 HD,VH1 HD,335
Videoexitos,Videoexitos,433
WAPA America,WAPA America,414
WE: Women's Entertainment,WE: Women's Entertainment,260
Weather Channel HD,Weather Channel HD,362
World Harvest Television,World Harvest Television,367
