A&E,A&E,118
ABCFM,ABC Family,180
AMC,AMC,131
ALIVE,America Live,219
ANGEL,Angel One,262
ANGL2,Angel Two,266
AXS,AXS TV,167
BUY!,Buy!,221
TOON,Cartoon Network (E),176
TOONW,Cartoon Network (W),177
CCTVE,CCTV-E,884
CCNEWS,CCTV-News,265
CHRCH,Church Channel,258
CMT,CMT,166
CNBC,CNBC,208
CNN,CNN,200
CMDY,Comedy Central,107
CSPN2,C-SPAN2,211
DYSTR,Daystar,263
DISC,Discovery Channel,182
DISE,Disney Channel (E),172
DISW,Disney Channel (W),173
E!,E! Entertainment Television,114
ESPN,ESPN,140
ESPN2,ESPN2,144
ESNWS,ESPNEWS,142
ESPNU,ESPNU,141
FOOD,Food Network,110
FXNWS,FOX News Channel,205
FUSE,Fuse,164
FX,FX,136
GEMS,Gems & Jewelry TV,229
HGTV,HGTV,112
HIST,History,120
HLN,HLN,202
HRTV,HorseRacing TV,404
HSN,HSN,84
HSN2,HSN2,226
IFC,IFC,133
ICTV,In Country Television,230
INSP,Inspiration Network,259
ION,ION (E),216
IONW,ION (W),217
JTV,Jewelry Television,227
LIFE,Lifetime,108
MALL,Mall,220
MSNBC,MSNBC,209
MTV,MTV,160
MTV2,MTV2,161
NICK,Nick/Nick at Nite (E),170
NICKW,Nick/Nick at Nite (W),171
PIVOT,Pivot,197
PRAYR,Prayer,256
QVC,QVC,137
REELZ,ReelzChannel,299
SALE,Sale,225
SHOP,shop,224
SHNBC,ShopNBC,228
SBN,SonLife Broadcasting Network,257
SPIKE,Spike TV,241
SYFY,Syfy,122
TBS,TBS,139
TLC,TLC,183
TNT,TNT,138
TRV,Travel Channel,196
TVGAM,TV Game Network,405
TVGN,TV Guide Network,117
TVLND,TV Land,106
USA,USA,105
VLCTY,VELOCITY,246
VH1,VH1,162
TWC,Weather Channel,214
WE,WE tv,128
BABY,BabyFirstTV,823
BLOCK,Blockbuster Studio Channel,102
BYUTV,BYUTV,9403
CTN,Christian Television Network,267
ARTS,Classic Arts Showcase,9406
CSPAN,C-SPAN,210
DN101,DISH 101,101
ENLC,Enlace,9411
EWTN,Eternal Word Television,261
PREVW,Free Preview Guide,103
FSTV,Free Speech TV,9415
GOLFR,GOLFR,399
IMPCT,Impact Network,268
KBS,KBS World ,9394
KTV,Kids & Teens Television (KTV) ,264
LINK,Link TV ,9410
NASA,NASA,286
ONPPV,Pay-Per-View Guide,500
PNTGN,Pentagon ,9405
TBN,TBN ,260
3ABN,Three Angels Broadcasting Network,9393
VME,V-ME,846
