AZTCA,Azteca América,825
BDMAX,Bandamax,867
BEIN,beIN SPORT,871
BLOCK,Blockbuster Studio Channel,102
CBBIS,Cbeebies,848
CCTVE,CCTV-E,884
CCNEW,CCTV-News,265
CSPAN,C-SPAN,210
PELIC,De Película,862
PCLAS,De Película Clásico,863
HOME,DishHOME,100
FXDEP,Fox Deportes,855
GLVSN,Galavisión,833
HISTE,History en Español,850
HITN,HITN,843
HSN,HSN,222
ICTV,In Country Television,230
LMUSC,Latin Music - La Música,821
MJITO,Latin Music - Mojito,820
VMARI,Latin Music - Viva Mariachi,819
NGMDO,NatGeo Mundo,861
PSNES,Pasiones,834
PLBYE,Playboy TV en Español,487
PRAYR,PRAYER,256
QVC,QVC,137
RT,Russia Today,280
TFMLA,TeleFórmula,858
TLHIT,Telehit,868
TMDOW,Telemundo (Oeste),836
TR3S,Tr3s: MTV Música y Más",872
UNIME,UniMÁS (Este),830
UNIMW,UniMÁS (Oeste),831
UNVSN,Univision (Este),827
UNVSW,Univision (Oeste),828
D101,Vecindario DISH,829
V-ME,V-ME,846
