A&E,A & E (Arts & Entertainment),118
AMC,AMC,131
APL,Animal Planet,184
AXS,AXS TV,362
AZTCA,Azteca América,825
BABY,BabyTV,824
BDMAX,Bandamax,867
BEIN,beIN SPORT,871
BLOCK,Blockbuster Studio Channel,102
BOOM,Boomerang,175
BRAVO,Bravo,129
TOON,Cartoon Network (Este),176
TOONW,Cartoon Network (Oeste),177
CBBIS,Cbeebies,848
CCTVE,CCTV-E,884
CCNEW,CCTV-News,265
CNTRO,vCentroaméricaTV,832
CINEL,Cinelatino,865
CNN,CNN,200
CNNES,CNN en Español,859
CMDY,Comedy Central,107
CSPAN,C-SPAN,210
DYSTR,Daystar,263
PELIC,De Película,862
PCLAS,De Película Clásico,863
DISC,Discovery Channel,182
DSCE,Discovery en Español,845
DSFAM,Discovery Kids en Español/ Discovery Familia,853
HOME,DishHOME,100
DISXD,Disney XD,174
DOC,Documentary Channel,197
ESPND,ESPN Deportes,854
FOOD,Food Network,110
UFORO,FOROtv,847
FXDEP,Fox Deportes,855
FSC,Fox Soccer Channel,390
FX,FX,136
GLVSN,Galavisión,833
HGTV,HGTV,112
HISTE,History en Español,850
HITN,HITN,843
HLN,HLN,202
HRTV,HorseRacing TV,404
HSN,HSN,222
HUB,Hub,179
IFC,IFC,133
ICTV,In Country Television,230
ION,ION,216
LMUSC,Latin Music - La Música,821
MJITO,Latin Music - Mojito,820
VMARI,Latin Music - Viva Mariachi,819
LIFE,Lifetime,108
MLBN,MLB Network,152
MTV,MTV,160
MTV2,MTV2,161
MUN2,mun2,838
NGMDO,NatGeo Mundo,861
NTGE,National Geographic Channel,186
NICK,Nickelodeon/ Nick at Nite (Este),170
NICKW,Nickelodeon/ Nick at Nite (Oeste),171
NUVO,nuvo TV,243
PSNES,Pasiones,834
PIXL,PixL,388
PLBYE,Playboy TV en Español,487
PRAYR,PRAYER,256
QVC,QVC,137
RT,Russia Today,280
SPIKE,Spike TV,241
SYFY,Syfy,122
TBS,TBS,139
TFMLA,TeleFórmula,858
TLHIT,Telehit,868
TMNDO,Telemundo (Este),835
TMDOW,Telemundo (Oeste),836
TWC,The Weather Channel,214
TLC,TLC,183
TNT,TNT,138
TR3S,Tr3s: MTV Música y Más",872
TVCOL,TV Colombia,841
TVGAM,TV Games Network,405
TVGN,TV Guide Network,117
TVEI,TVEI (Televisión Española Internacional),840
UNIME,UniMÁS (Este),830
UNIMW,UniMÁS (Oeste),831
UNVSN,Univision (Este),827
UNVSW,Univision (Oeste),828
UDEP2,Univision Deportes 2,870
UDEP,Univision Deportes Network,869
TLNOV,Univision tlnovelas,837
USA,USA,105
UTLSM,Utilísima,842
D101,Vecindario DISH,829
WAPAA,WAPA América,826
V-ME,V-ME,846
WE,WE,128
