AMC,AMC,131
AZTCA,Azteca América,825
BABY,BabyTV,824
BDMAX,Bandamax,867
BEIN,beIN SPORT,871
BLOCK,Blockbuster Studio Channel,102
BOOM,Boomerang,175
TOON,Cartoon Network (Este),176
TOONW,Cartoon Network (Oeste),177
CBBIS,Cbeebies,848
CCTVE,CCTV-E,884
CCNEW,CCTV-News,265
CNTRO,vCentroaméricaTV,832
CINEL,Cinelatino,865
CNNES,CNN en Español,859
CSPAN,C-SPAN,210
PELIC,De Película,862
PCLAS,De Película Clásico,863
DSCE,Discovery en Español,845
DSFAM,Discovery Kids en Español/ Discovery Familia,853
HOME,DishHOME,100
DISXD,Disney XD,174
ESPND,ESPN Deportes,854
UFORO,FOROtv,847
FXDEP,Fox Deportes,855
GLVSN,Galavisión,833
HISTE,History en Español,850
HITN,HITN,843
HSN,HSN,222
ICTV,In Country Television,230
LMUSC,Latin Music - La Música,821
MJITO,Latin Music - Mojito,820
VMARI,Latin Music - Viva Mariachi,819
MUN2,mun2,838
NGMDO,NatGeo Mundo,861
NUVO,nuvo TV,243
PSNES,Pasiones,834
PLBYE,Playboy TV en Español,487
PRAYR,PRAYER,256
QVC,QVC,137
RT,Russia Today,280
SYFY,Syfy,122
TBS,TBS,139
TFMLA,TeleFórmula,858
TLHIT,Telehit,868
TMNDO,Telemundo (Este),835
TMDOW,Telemundo (Oeste),836
TWC,The Weather Channel,214
TR3S,Tr3s: MTV Música y Más",872
TVCOL,TV Colombia,841
TVEI,TVEI (Televisión Española Internacional),840
UNIME,UniMÁS (Este),830
UNIMW,UniMÁS (Oeste),831
UNVSN,Univision (Este),827
UNVSW,Univision (Oeste),828
UDEP2,Univision Deportes 2,870
UDEP,Univision Deportes Network,869
TLNOV,Univision tlnovelas,837
USA,USA,105
UTLSM,Utilísima,842
D101,Vecindario DISH,829
WAPAA,WAPA América,826
V-ME,V-ME,846
